id,Methods,Selected Bands
0,BS-Net-FC,"[38, 78, 17, 20, 85, 98, 65, 81, 79, 90, 95, 74, 66, 62, 92]"
1,BS-Net-Conv,"[90, 42, 16, 48, 71, 3, 78, 38, 80, 53, 7, 31, 4, 99, 98]"
2,ISSC,"[51, 76, 7, 64, 31, 8, 0, 24, 40, 30, 5, 3, 6, 27, 2]"
3,SpaBS,"[50, 48, 16, 22, 4, 102, 21, 25, 23, 47, 24, 20, 31, 26, 42]"
4,MVPCA,"[48, 22, 51, 16, 52, 21, 65, 17, 20, 53, 18, 54, 19, 55, 76]"
5,SNMF,"[92, 53, 43, 66, 22, 89, 82, 30, 51, 5, 83, 77, 80, 2, 48]"
6,MOBS,"[4, 15, 23, 25, 33, 35, 42, 53, 58, 61, 62, 64, 67, 73, 101]"
7,OPBS,"[90, 62, 14, 0, 2, 72, 102, 4, 33, 1, 6, 84, 45, 82, 8]"
8,DABSRecNet,"[94, 48, 40, 45, 92, 62, 91, 49, 47, 43, 44, 53, 31, 41, 54]"
